model,config_id,params,fold,n_train,n_val,fit_time_sec,predict_time_sec,accuracy,balanced_accuracy,macro_precision,macro_recall,macro_f1,weighted_f1,mcc,precision_class_0,recall_class_0,f1_class_0,support_class_0,precision_class_1,recall_class_1,f1_class_1,support_class_1,precision_class_3,recall_class_3,f1_class_3,support_class_3
CatBoost,1,"{'iterations': 300, 'depth': 6, 'learning_rate': 0.1, 'auto_class_weights': 'Balanced'}",2,6148,1503,10.422142699942924,0.011504400055855513,0.9660678642714571,0.8783653687482474,0.8911450102228843,0.8783653687482474,0.8810383960111311,0.9657696311322115,0.8929914781371503,0.9975530179445351,0.9951179820992677,0.9963340122199593,1229,0.8021978021978022,0.9182389937106918,0.8563049853372434,159,0.8736842105263158,0.7217391304347827,0.7904761904761904,115
CatBoost,1,"{'iterations': 300, 'depth': 6, 'learning_rate': 0.1, 'auto_class_weights': 'Balanced'}",3,6146,1505,9.796917199972086,0.01071349997073412,0.9707641196013289,0.9152087601831248,0.9129520422385844,0.9152087601831248,0.9110699462233187,0.9710811767309289,0.9098514995008903,0.9983552631578947,0.9877949552481693,0.9930470347648261,1229,0.8238341968911918,0.9578313253012049,0.8857938718662952,166,0.9166666666666666,0.8,0.8543689320388349,110
CatBoost,1,"{'iterations': 300, 'depth': 6, 'learning_rate': 0.1, 'auto_class_weights': 'Balanced'}",4,6095,1556,9.937715200008824,0.006647799978964031,0.9717223650385605,0.9193258893036917,0.9370059937435825,0.9193258893036917,0.9243655379410624,0.9719227260731115,0.9109690299227766,0.9913317572892041,0.9889937106918238,0.9901613537977174,1272,0.8297872340425532,0.9454545454545454,0.8838526912181303,165,0.98989898989899,0.8235294117647058,0.8990825688073395,119
CatBoost,1,"{'iterations': 300, 'depth': 6, 'learning_rate': 0.1, 'auto_class_weights': 'Balanced'}",5,6100,1551,9.92032759997528,0.011532000033184886,0.9729206963249516,0.926569767466649,0.9303160285239889,0.926569767466649,0.9254978418444186,0.9731038758991746,0.9171725027659656,0.9952038369304557,0.9865293185419969,0.9908475925189018,1262,0.8472906403940886,0.9717514124293786,0.9052631578947369,177,0.9484536082474226,0.8214285714285714,0.8803827751196173,112
LogisticRegression,0,"{'C': 1.0, 'class_weight': None}",1,6115,1536,0.793306399951689,0.0041735999984666705,0.9485677083333334,0.8266538525485974,0.8514696010740316,0.8266538525485974,0.8368885114428166,0.9474271998581089,0.834795969062114,0.9833860759493671,0.9904382470119522,0.9868995633187773,1255,0.7897727272727273,0.8373493975903614,0.8128654970760234,166,0.78125,0.6521739130434783,0.7109004739336493,115
LogisticRegression,0,"{'C': 1.0, 'class_weight': None}",2,6148,1503,0.7839970000786707,0.005162899964489043,0.9387890884896873,0.7738236888893932,0.8417589471994864,0.7738236888893932,0.7845970257177705,0.9350197322356841,0.8042537937500737,0.9838709677419355,0.9926769731489016,0.9882543539894694,1229,0.6865671641791045,0.8679245283018868,0.7666666666666667,159,0.8548387096774194,0.4608695652173913,0.5988700564971752,115
LogisticRegression,0,"{'C': 1.0, 'class_weight': None}",3,6146,1505,0.7911321999272332,0.0035037000197917223,0.9501661129568106,0.8107494405464153,0.8625655884161437,0.8107494405464153,0.8254936569420043,0.9479566758465153,0.8407395641349396,0.9870863599677159,0.9951179820992677,0.9910858995137763,1229,0.7512953367875648,0.8734939759036144,0.807799442896936,166,0.8493150684931506,0.5636363636363636,0.6775956284153005,110
LogisticRegression,0,"{'C': 1.0, 'class_weight': None}",4,6095,1556,0.7669516999740154,0.005274099996313453,0.9395886889460154,0.7743793972706293,0.8820226010530724,0.7743793972706293,0.8062140234701936,0.9355786088727736,0.8009734816432725,0.9693955623565417,0.9960691823899371,0.9825513765025203,1272,0.7228260869565217,0.806060606060606,0.7621776504297995,165,0.9538461538461539,0.5210084033613446,0.6739130434782609,119
LogisticRegression,0,"{'C': 1.0, 'class_weight': None}",5,6100,1551,0.6123022000538185,0.0033756999764591455,0.9361702127659575,0.7761957897218715,0.8884267656691803,0.7761957897218715,0.8182647713370637,0.9320207138659097,0.7898421808328062,0.9557251908396946,0.9920760697305864,0.973561430793157,1262,0.7965116279069767,0.7740112994350282,0.7851002865329513,177,0.9130434782608695,0.5625,0.6961325966850829,112
LogisticRegression,1,"{'C': 1.0, 'class_weight': 'balanced'}",1,6115,1536,1.474434099975042,0.0030790999298915267,0.8958333333333334,0.7938720410830921,0.7309980279085303,0.7938720410830921,0.75589342359589,0.9031458157039277,0.7075756655864124,0.9881756756756757,0.9322709163346613,0.959409594095941,1255,0.5493562231759657,0.7710843373493976,0.6416040100250626,166,0.6554621848739496,0.6782608695652174,0.6666666666666666,115
LogisticRegression,1,"{'C': 1.0, 'class_weight': 'balanced'}",2,6148,1503,0.9791268999688327,0.001649299985729158,0.8662674650698603,0.7717777150337687,0.7315916623407738,0.7717777150337687,0.7191841915484692,0.8803689241762335,0.6624861574110958,0.9936708860759493,0.8942229454841334,0.9413276231263383,1229,0.45110410094637227,0.89937106918239,0.6008403361344538,159,0.75,0.5217391304347826,0.6153846153846154,115
LogisticRegression,1,"{'C': 1.0, 'class_weight': 'balanced'}",3,6146,1505,0.9958067999687046,0.0019919000333175063,0.9049833887043189,0.8049803177500298,0.7557436077879428,0.8049803177500298,0.7709935842642622,0.9117320838982044,0.7346630702653023,0.9939655172413793,0.9381611065907242,0.965257429886982,1229,0.563265306122449,0.8313253012048193,0.6715328467153284,166,0.71,0.6454545454545455,0.6761904761904762,110
